Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQT_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
204,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
205,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
206,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Built-up
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Built-up
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
219,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
220,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
221,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
222,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
223,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
331,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
