Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
