Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
40,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
