Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
292,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
