Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
36,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
