Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LXR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LXR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LXR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LXR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
