Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
