Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFH_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
62,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Built-up
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
78,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
79,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
80,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
81,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
82,NULL,NULL,Wetland,Water,Wetland,NULL,Water
83,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Cropland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Wetland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
109,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Wetland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Water
113,NULL,NULL,Water,NULL,Water,NULL,NULL
114,NULL,NULL,Water,NULL,Water,NULL,Grassland
115,NULL,NULL,Water,NULL,Water,NULL,Wetland
116,NULL,NULL,Water,NULL,Water,NULL,Forest
117,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
118,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
119,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
120,NULL,NULL,Water,Non_Water,Water,NULL,Water
121,NULL,NULL,Water,Water,Water,NULL,Grassland
122,NULL,NULL,Water,Water,Water,NULL,Wetland
123,NULL,NULL,Water,Water,Water,NULL,Bareland
124,NULL,NULL,Water,Water,Water,NULL,Water
125,NULL,NULL,Water,Water,Water,NULL,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Cropland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
143,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
151,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL
152,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
153,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
154,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
155,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
156,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL
165,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
166,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
167,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Forest
168,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
169,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
172,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL
173,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
174,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
175,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
176,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
177,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Water
178,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
179,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
180,NULL,Cropland,Wetland,Water,Wetland,NULL,Bareland
181,NULL,Cropland,Wetland,Water,Wetland,NULL,Water
182,NULL,Cropland,Wetland,Water,Wetland,NULL,Forest
183,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL
184,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
185,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Cropland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
188,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
189,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,Grassland
190,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,Wetland
191,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
193,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
194,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,Water
195,NULL,Cropland,Water,NULL,Water,NULL,Grassland
196,NULL,Cropland,Water,Water,Water,NULL,Bareland
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL
198,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
200,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
201,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Grassland
202,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
203,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
204,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL
205,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland
206,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
207,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
208,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
211,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
212,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL
213,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
214,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
215,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
216,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
217,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
218,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
219,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
220,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
221,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
222,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
223,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
224,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Built-up
225,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
226,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
227,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL
228,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
229,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
230,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Built-up
231,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Water
232,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
233,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL
234,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
235,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
236,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
237,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
238,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
239,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
240,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL
241,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
242,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
243,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
244,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
245,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
246,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL
247,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
248,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
249,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
250,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
251,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL
252,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
253,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
254,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
255,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
256,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
257,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
258,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
259,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
260,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
261,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Bareland
262,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
263,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
264,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
265,NULL,Wetland,Water,NULL,Water,NULL,Grassland
266,NULL,Wetland,Water,Non_Water,Water,NULL,NULL
267,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
268,NULL,Wetland,Water,Water,Water,NULL,Grassland
269,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
270,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
271,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
272,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
273,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL
275,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
276,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
277,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
278,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
279,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
280,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Grassland
281,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Wetland
282,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
283,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
284,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
285,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
286,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
287,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
288,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
289,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
290,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
291,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
292,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
293,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
294,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
295,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
296,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Wetland
297,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
298,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Forest
299,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Grassland
300,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
301,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
302,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
303,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
304,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
305,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
306,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
307,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
308,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
309,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
310,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
311,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
312,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
313,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
314,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Wetland
315,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
316,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Grassland
317,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Wetland
318,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Bareland
319,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
320,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
321,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
322,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
323,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Grassland
324,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Wetland
325,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
326,NULL,Bareland,Water,Non_Water,Water,NULL,Grassland
327,NULL,Bareland,Water,Non_Water,Water,NULL,Bareland
328,NULL,Bareland,Water,Water,Water,NULL,Water
329,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Grassland
330,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL
331,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
332,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
333,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
336,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
337,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
338,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
339,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
340,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
341,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
342,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
343,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
344,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
345,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL
346,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
347,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Cropland
348,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
349,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
350,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
351,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Wetland
352,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
353,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
354,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
355,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
356,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
357,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
358,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
359,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
360,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
361,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Wetland
362,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Bareland
363,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water
364,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
365,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
366,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
367,NULL,Built-up,Wetland,Water,Wetland,NULL,Bareland
368,NULL,Built-up,Wetland,Water,Wetland,NULL,Water
369,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
370,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
371,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
372,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
373,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,Grassland
374,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,Bareland
375,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,Water
376,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
377,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
