Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
