Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDR_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
59,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
124,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
127,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
128,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
131,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
134,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
135,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
172,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
179,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Water
205,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
206,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
209,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
210,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
228,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
242,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
248,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
251,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Forest
254,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
257,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
259,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
260,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
263,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
264,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
267,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
271,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
273,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
274,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
279,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
280,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
282,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
284,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
285,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
286,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
287,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
288,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
289,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
290,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
291,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
292,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
293,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
294,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
295,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Water
296,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
298,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
300,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
301,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
302,NULL,NULL,Wetland,Water,Wetland,Wetland,Built-up,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
304,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
305,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
306,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
307,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
308,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
309,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
310,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
311,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
312,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
314,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
315,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
316,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Forest,Forest
320,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Grassland
321,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
323,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
325,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
327,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
328,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
329,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
330,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
331,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
332,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
