Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
167,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
