Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
46,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
67,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
69,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
