Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDC_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
121,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
124,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
142,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
144,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
146,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
147,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Built-up
152,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
153,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
154,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
155,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
156,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
157,NULL,NULL,Water,Water,Water,NULL,NULL,Water
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
174,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
190,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
194,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
198,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
205,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
208,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
212,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
213,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
214,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
225,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
236,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
239,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
241,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
243,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
244,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,NULL
245,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
247,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
249,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
253,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
256,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
258,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
261,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
262,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
270,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
271,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
272,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
273,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
275,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
276,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
277,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
278,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
281,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
282,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
283,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
284,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
285,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
286,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
287,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
289,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
290,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
291,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
292,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
293,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
294,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
299,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
300,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
301,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
302,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
303,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
304,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
305,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
306,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
307,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
308,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
309,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
310,NULL,Wetland,Water,Water,Water,NULL,NULL,NULL
311,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
312,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
313,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
314,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
315,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
317,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
318,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
319,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
320,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
321,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
322,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
324,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
325,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
329,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
330,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
331,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
333,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
334,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
