Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
