Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
