Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
255,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
265,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
268,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
274,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
