Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
100,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
