Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
23,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
24,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
27,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
28,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
29,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
31,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
36,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
37,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water,Water,Water
38,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
40,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
41,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
42,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
43,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
47,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Water
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
