Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Permanent_ice_and_snow
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Water,Wetland,Bareland
56,NULL,NULL,Wetland,Water,Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
64,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
73,NULL,NULL,Water,NULL,Water,NULL
74,NULL,NULL,Water,NULL,Water,Grassland
75,NULL,NULL,Water,NULL,Water,Cropland
76,NULL,NULL,Water,NULL,Water,Wetland
77,NULL,NULL,Water,NULL,Water,Bareland
78,NULL,NULL,Water,NULL,Water,Water
79,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
80,NULL,NULL,Water,NULL,Water,Forest
81,NULL,NULL,Water,Non_Water,Water,NULL
82,NULL,NULL,Water,Non_Water,Water,Grassland
83,NULL,NULL,Water,Non_Water,Water,Water
84,NULL,NULL,Water,Non_Water,Water,Forest
85,NULL,NULL,Water,Water,Water,Grassland
86,NULL,NULL,Water,Water,Water,Cropland
87,NULL,NULL,Water,Water,Water,Wetland
88,NULL,NULL,Water,Water,Water,Water
89,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL
90,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
91,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Cropland
92,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
94,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
95,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
96,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
97,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Grassland
98,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
102,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
103,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
104,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
105,NULL,NULL,Forest,NULL,Non_Wetland,Water
106,NULL,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Water,Non_Wetland,Cropland
112,NULL,NULL,Forest,Water,Non_Wetland,Water
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
