Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
