Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
301,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
