Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTC_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
163,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
165,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
168,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
169,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Forest
173,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
174,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
176,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
178,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
180,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
