Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
65,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Forest,Grassland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Grassland
101,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Forest,Grassland
102,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Bareland
103,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
104,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
105,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Grassland
134,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,Wetland,Water,Wetland,Cropland,Grassland,Grassland
136,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
138,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
142,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
143,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
146,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
147,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
148,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Shrubland,Grassland
153,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
155,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
187,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
188,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
189,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
196,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
197,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
200,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
204,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
205,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
210,NULL,Built-up,Wetland,NULL,Wetland,Cropland,Wetland,Forest
211,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
216,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Forest,Grassland
219,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
220,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
221,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
222,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
223,NULL,Water,Wetland,Water,Wetland,Wetland,Forest,Grassland
224,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
226,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
227,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
228,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
230,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
232,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
233,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
235,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
236,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
237,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
239,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
240,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
241,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
245,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
247,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
248,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
249,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
250,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
251,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
252,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
254,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
255,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
256,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
257,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
258,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
259,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
260,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
261,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
262,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
263,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
275,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
278,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
281,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
282,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
283,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
285,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
286,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
289,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
290,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
292,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
293,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
296,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
297,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
298,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
299,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
301,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
303,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
305,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
306,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
307,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
309,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
310,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
311,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
312,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
313,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
314,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
315,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
316,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
317,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
318,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
319,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
320,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
322,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
