Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
230,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
249,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
250,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
251,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
271,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
272,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
274,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
332,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
