Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
251,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Water
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Bareland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Cropland
295,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Cropland
296,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
298,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
310,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
