Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Cropland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
302,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
