Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
27,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
