Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KPU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
93,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
94,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
95,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
96,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
100,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
101,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
102,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
103,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
104,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
131,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
133,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
145,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
148,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
150,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
151,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
152,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
153,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
154,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
155,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
156,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
157,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
158,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
159,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
160,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
161,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
162,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
163,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
164,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
165,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
166,NULL,NULL,Water,Water,Water,NULL,NULL,Water
167,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
175,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
182,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
189,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
204,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
209,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
210,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
216,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
217,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
218,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
219,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
220,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
223,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
224,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
232,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
233,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
234,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
235,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
236,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
237,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
238,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
239,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
240,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
241,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
242,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
243,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
244,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
252,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
271,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
274,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
275,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
276,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
277,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
278,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
281,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
284,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
285,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
286,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
287,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
288,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
289,NULL,Wetland,Water,Water,Water,NULL,NULL,Cropland
290,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
291,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
292,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
293,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
303,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
305,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
309,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
310,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
311,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
316,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
324,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
325,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
328,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
332,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
334,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
338,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
340,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
341,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
342,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
