Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
55,NULL,NULL,Cropland,Water,Non_Wetland,Water
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
66,NULL,NULL,Bareland,NULL,Non_Wetland,Water
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL
76,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
78,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
79,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
81,NULL,NULL,Bareland,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
91,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
92,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
93,NULL,NULL,Water,NULL,Water,NULL
94,NULL,NULL,Water,NULL,Water,Grassland
95,NULL,NULL,Water,NULL,Water,Bareland
96,NULL,NULL,Water,NULL,Water,Water
97,NULL,NULL,Water,NULL,Water,Forest
98,NULL,NULL,Water,Non_Water,Water,NULL
99,NULL,NULL,Water,Non_Water,Water,Grassland
100,NULL,NULL,Water,Non_Water,Water,Bareland
101,NULL,NULL,Water,Non_Water,Water,Water
102,NULL,NULL,Water,Non_Water,Water,Forest
103,NULL,NULL,Water,Water,Water,NULL
104,NULL,NULL,Water,Water,Water,Grassland
105,NULL,NULL,Water,Water,Water,Bareland
106,NULL,NULL,Water,Water,Water,Water
107,NULL,NULL,Water,Water,Water,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
113,NULL,NULL,Forest,NULL,Non_Wetland,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
122,NULL,NULL,Forest,Water,Non_Wetland,Grassland
