Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Cropland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
315,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
322,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Cropland
325,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
326,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
