Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
