Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
54,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
58,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
64,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
67,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
68,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
71,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
74,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
77,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
78,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
79,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
