Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
