Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
330,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
331,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
