Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
248,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
249,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
