Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
244,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
245,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Bareland
246,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
249,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
