Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
182,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
187,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
189,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Built-up
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Cropland
194,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
195,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Wetland
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Built-up
201,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
209,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
214,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
