Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRP_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Cropland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
159,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
209,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
213,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
242,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
255,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Bareland
259,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
260,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
261,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
262,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
269,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
271,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
275,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
276,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
279,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
280,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
281,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
282,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
284,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
288,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
289,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
293,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
295,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
297,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Bareland
301,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
302,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Bareland,Forest
304,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
307,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
308,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
309,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
314,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
315,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
319,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
