Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
228,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
241,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
243,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
244,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
251,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
253,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Water
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
265,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
267,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
268,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
269,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
271,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
272,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
275,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
276,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Bareland
279,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
281,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
