Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R
0,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
1,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
2,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
3,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
4,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
5,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Forest
6,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Forest
7,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
11,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
12,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
13,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
14,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
15,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
17,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
18,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
19,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Forest
20,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Forest,Forest
21,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
23,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
