Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
324,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
329,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
330,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
