Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
13,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
14,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
15,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
17,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
18,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
20,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
24,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Built-up
37,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
45,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
46,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
51,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
53,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
54,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
55,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
56,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
57,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
58,NULL,Forest,NULL,Water,Non_Wetland,Water,Grassland,Forest
59,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
60,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
63,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
64,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
65,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
66,NULL,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
67,NULL,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
68,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
69,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
74,NULL,Forest,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
75,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
76,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
77,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
82,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
83,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
87,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
88,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
