Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
183,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
187,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
188,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
190,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
191,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
195,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
196,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Water
