Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KPG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KPG_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
105,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
107,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
110,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
111,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
112,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
113,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
115,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
117,NULL,NULL,Water,Water,Water,NULL,NULL,Water
118,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
136,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
146,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
185,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
189,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
190,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
195,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
208,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
209,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
210,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
211,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
212,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
213,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
214,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
215,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
216,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
223,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
225,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
231,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
233,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
253,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
258,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
260,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
263,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
265,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
269,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
275,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
276,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
277,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
279,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
280,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
286,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
287,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
295,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
300,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
301,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
309,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
310,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
314,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
318,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
319,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
321,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
322,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
323,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
329,NULL,Forest,Water,Water,Water,NULL,NULL,Water
330,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
333,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
334,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
336,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
337,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
338,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
339,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
