Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
106,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Forest
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
276,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
297,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
320,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
