Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
