Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
39,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,Water,NULL,Water,Water,Water,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
70,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
71,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
72,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
73,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
74,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
75,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
76,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
77,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
78,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
79,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
80,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
81,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
82,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
88,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,NULL
89,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
90,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
92,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
93,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
94,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
96,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
97,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
98,NULL,Water,Water,NULL,Water,Water,Water,NULL
99,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,NULL
101,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
103,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
106,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
107,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
108,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
110,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
111,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
112,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,NULL
113,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
114,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
118,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
119,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
120,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
121,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
122,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
123,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
124,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
125,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
126,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
127,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
128,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
129,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
130,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
131,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
132,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
133,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
134,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
135,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
136,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
137,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
138,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
139,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
140,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
141,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
142,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
143,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
144,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
145,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
146,Wetland,NULL,Water,NULL,Water,Wetland,Water,NULL
147,Wetland,NULL,Water,NULL,Water,Water,Wetland,NULL
148,Wetland,NULL,Water,NULL,Water,Water,Water,NULL
149,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
150,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
151,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
152,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Water,NULL
153,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
154,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
155,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,NULL
156,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
157,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
158,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
159,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
160,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,NULL
161,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,Water,NULL
162,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
163,Wetland,Wetland,Water,NULL,Water,NULL,Water,NULL
164,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
165,Wetland,Wetland,Water,NULL,Water,Wetland,Water,NULL
166,Wetland,Wetland,Water,NULL,Water,Water,Wetland,NULL
167,Wetland,Wetland,Water,NULL,Water,Water,Water,NULL
168,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,NULL
169,Wetland,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
170,Wetland,Bareland,Water,NULL,Water,Water,Water,NULL
171,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
172,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,NULL
173,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
174,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
175,Wetland,Water,Wetland,NULL,Wetland,Water,Water,NULL
176,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,NULL
177,Wetland,Water,Bareland,NULL,Non_Wetland,Forest,Water,NULL
178,Wetland,Water,Water,NULL,Water,Wetland,Water,NULL
179,Wetland,Water,Water,NULL,Water,Water,Water,NULL
180,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,NULL
181,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
182,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
183,Water,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
184,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
185,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
186,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
187,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
188,Water,NULL,Wetland,NULL,Wetland,Water,Water,NULL
189,Water,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
190,Water,NULL,Water,NULL,Water,Wetland,Water,NULL
191,Water,NULL,Water,NULL,Water,Water,Wetland,NULL
192,Water,NULL,Water,NULL,Water,Water,Water,NULL
193,Water,NULL,Water,NULL,Water,Water,Forest,NULL
194,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
195,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
196,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
197,Water,NULL,Forest,NULL,Non_Wetland,Forest,Water,NULL
198,Water,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
199,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
200,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
201,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
202,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
203,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
204,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
205,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
206,Water,Wetland,Wetland,NULL,Wetland,Grassland,Water,NULL
207,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
208,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
209,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
210,Water,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
211,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,NULL
212,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,Water,NULL
213,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
214,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
215,Water,Wetland,Water,NULL,Water,NULL,Water,NULL
216,Water,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
217,Water,Wetland,Water,NULL,Water,Wetland,Water,NULL
218,Water,Wetland,Water,NULL,Water,Water,Wetland,NULL
219,Water,Wetland,Water,NULL,Water,Water,Water,NULL
220,Water,Wetland,Water,NULL,Water,Water,Forest,NULL
221,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
222,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Water,NULL
223,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
224,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
225,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
226,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
227,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
228,Water,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
229,Water,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
230,Water,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
231,Water,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
232,Water,Bareland,Water,NULL,Water,Wetland,Wetland,NULL
