Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
