Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
253,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,NULL
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
259,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
261,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
