Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
27,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
28,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
