Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL
41,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
62,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
63,NULL,NULL,Cropland,Water,Non_Wetland,Water
64,NULL,NULL,Cropland,Water,Non_Wetland,Forest
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Water
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL
69,NULL,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Cropland
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
75,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
80,NULL,NULL,Bareland,NULL,Non_Wetland,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
93,NULL,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Water,NULL,Water,NULL
103,NULL,NULL,Water,NULL,Water,Grassland
104,NULL,NULL,Water,NULL,Water,Cropland
105,NULL,NULL,Water,NULL,Water,Bareland
106,NULL,NULL,Water,NULL,Water,Water
107,NULL,NULL,Water,NULL,Water,Forest
108,NULL,NULL,Water,Non_Water,Water,NULL
109,NULL,NULL,Water,Non_Water,Water,Water
110,NULL,NULL,Water,Water,Water,NULL
111,NULL,NULL,Water,Water,Water,Grassland
112,NULL,NULL,Water,Water,Water,Cropland
113,NULL,NULL,Water,Water,Water,Wetland
114,NULL,NULL,Water,Water,Water,Bareland
115,NULL,NULL,Water,Water,Water,Water
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
119,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
120,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
121,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
122,NULL,NULL,Forest,NULL,Non_Wetland,Water
