Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRQ_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
153,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
178,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
182,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
193,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
197,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
201,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
203,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
205,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Bareland
208,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
209,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
212,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
228,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
229,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
233,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
235,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
237,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
240,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
241,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
242,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
243,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
244,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
245,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
247,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
249,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Bareland
252,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
253,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
254,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Bareland,Grassland
257,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Bareland,Forest
258,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
259,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
260,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
261,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
265,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
269,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
272,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
274,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
275,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
276,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
277,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
278,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
281,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
283,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
284,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
298,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
321,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
324,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
