Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
