Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
