Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
116,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
127,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
192,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
193,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
194,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
195,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
213,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
219,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
227,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
229,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
232,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
240,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
248,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
251,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
259,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
260,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
263,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
265,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
267,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
271,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
272,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
273,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
275,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
276,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
277,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
278,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
279,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
280,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
281,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Water
282,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Water
283,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
286,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
287,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
288,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
289,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
290,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
291,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
294,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
295,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
296,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
298,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
299,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
300,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
302,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
303,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
304,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
305,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
306,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
307,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
308,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
311,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
312,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
313,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
314,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
316,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
317,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
325,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
326,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
328,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
329,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
330,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
