Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
