Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Bareland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
121,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
126,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
127,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
