Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MET_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MET_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MET_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MET_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MET_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MET_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MET_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MET_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
8,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
37,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
43,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,Water
44,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
45,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Wetland
57,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
59,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
60,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
65,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
67,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
68,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
69,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
70,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
71,NULL,NULL,Water,Water,Water,Water,Bareland,Bareland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
87,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
89,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Wetland
92,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
94,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
95,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
97,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
98,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Forest
99,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
