Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
