Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
143,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
144,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Water
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Bareland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Cropland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Built-up
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
