Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
197,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
198,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
