Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
204,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
205,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
211,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
215,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
