Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
35,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
