Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
80,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
88,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
104,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
105,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
106,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
124,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
134,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
135,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
141,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
148,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
152,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
153,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
154,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
155,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
156,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
161,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
163,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
168,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
169,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
171,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
173,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
174,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
175,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
177,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
178,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
180,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
182,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
183,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
184,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
186,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
188,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
189,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
191,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
195,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
196,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
197,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
198,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
200,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
201,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
204,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
206,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
208,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
209,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
211,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
214,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
217,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
219,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
221,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
223,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
224,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
225,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
227,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
228,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
229,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
231,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
233,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
234,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
235,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
236,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,Grassland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
241,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
242,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
244,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
246,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
251,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
253,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
257,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
259,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
261,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
262,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
263,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
265,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
268,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
269,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
270,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
272,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
278,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
279,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
280,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
281,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
282,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
284,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
289,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
290,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
292,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
293,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
294,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
295,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
296,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
298,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
299,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
301,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
304,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
306,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
308,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
310,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
311,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
313,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
314,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
315,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
316,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
317,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
318,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
319,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
320,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
321,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
322,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
324,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
